3668

(-0.387999, -0.938733, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.383999, -0.934328, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.379999, -0.929775, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.375999, -0.925076, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.371999, -0.920230, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.367999, -0.915240, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.363999, -0.910104, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.359999, -0.904825, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.355999, -0.899403, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.351999, -0.893840, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.347999, -0.888135, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.343999, -0.882289, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.339999, -0.876305, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.335999, -0.870182, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.331999, -0.863921, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.327999, -0.857524, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.323999, -0.850992, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.319999, -0.844326, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.315999, -0.837526, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.311999, -0.830593, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.307999, -0.823530, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.303999, -0.816337, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.299999, -0.809014, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.295999, -0.801564, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.291999, -0.793988, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.287999, -0.786286, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.283999, -0.778459, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.279999, -0.770510, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.275999, -0.762440, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.271999, -0.754248, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.267999, -0.745938, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.263999, -0.737510, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.259999, -0.728965, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.255998, -0.720306, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.251998, -0.711532, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.247998, -0.702647, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.243998, -0.693650, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.239999, -0.684544, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.235999, -0.675329, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
